family,target,"corr(h,mae)",mae_D1,mae_D4,change_%,status
GRU,v10,-0.346,1.4372,1.3926,-3.1,✓ OK
GRU,rain,-0.146,0.5835,0.5419,-7.1,✓ OK
Climatology,rain,-0.129,0.4362,0.4328,-0.8,✓ OK
GRU,temp,-0.109,2.5878,2.5745,-0.5,✓ OK
Climatology,v10,-0.091,1.306,1.2893,-1.3,✓ OK
Climatology,rh,-0.09,12.9429,12.4857,-3.5,✓ OK
Climatology,temp,-0.085,3.0214,2.9195,-3.4,✓ OK
Climatology,u10,-0.084,1.3684,1.3527,-1.1,✓ OK
Climatology,cloud,-0.083,27.4765,27.4657,-0.0,✓ OK
Climatology,press,-0.001,2.7482,2.7735,0.9,✓ OK
TCN,rain,0.065,0.487,0.4947,1.6,✓ OK
Persistence,rh,0.118,12.2014,13.7281,12.5,✓ OK
Persistence,temp,0.151,2.7447,3.1747,15.7,✓ OK
GRU,u10,0.153,1.4905,1.5023,0.8,✓ OK
LGB,rain,0.562,0.3178,0.3341,5.2,✓ OK
TCN,v10,0.598,1.2235,1.4151,15.7,✓ OK
TCN,u10,0.606,1.2141,1.4785,21.8,✓ OK
Persistence,u10,0.621,1.2606,1.6803,33.3,✓ OK
Persistence,v10,0.709,1.1928,1.6526,38.5,✓ OK
Persistence,rain,0.71,0.4475,0.5217,16.6,✓ OK
XGB,rain,0.715,0.3453,0.3858,11.7,✓ OK
Ridge,rain,0.734,0.3349,0.3519,5.1,✓ OK
TCN,cloud,0.757,19.9771,23.8049,19.2,✓ OK
TCN,rh,0.776,6.0233,7.7635,28.9,✓ OK
GRU,cloud,0.791,20.9499,21.7662,3.9,✓ OK
Ridge,cloud,0.799,20.8202,26.2295,26.0,✓ OK
LGB,cloud,0.815,20.4847,26.6331,30.0,✓ OK
XGB,cloud,0.817,20.5731,26.817,30.3,✓ OK
TCN,temp,0.824,1.827,2.5449,39.3,✓ OK
Ridge,v10,0.836,0.8052,1.0936,35.8,✓ OK
XGB,v10,0.837,0.7917,1.1089,40.1,✓ OK
LGB,v10,0.844,0.7885,1.1035,39.9,✓ OK
Persistence,cloud,0.85,20.2609,28.277,39.6,✓ OK
Ridge,u10,0.859,0.82,1.1107,35.4,✓ OK
XGB,rh,0.871,4.6434,6.9867,50.5,✓ OK
LGB,rh,0.873,4.6356,6.9431,49.8,✓ OK
LGB,u10,0.877,0.8007,1.1172,39.5,✓ OK
Ridge,rh,0.878,4.765,7.0023,47.0,✓ OK
XGB,u10,0.882,0.8018,1.1292,40.8,✓ OK
Persistence,press,0.886,1.7962,3.3334,85.6,✓ OK
XGB,press,0.91,0.9135,2.2443,145.7,✓ OK
GRU,rh,0.912,6.9808,7.8196,12.0,✓ OK
LGB,press,0.919,0.9127,2.2397,145.4,✓ OK
Ridge,press,0.922,0.8269,2.1938,165.3,✓ OK
XGB,temp,0.932,0.8478,1.5278,80.2,✓ OK
Ridge,temp,0.934,0.8801,1.5066,71.2,✓ OK
LGB,temp,0.936,0.8443,1.5211,80.1,✓ OK
TCN,press,0.976,9.2531,10.3895,12.3,✓ OK
GRU,press,0.98,6.1566,6.5436,6.3,✓ OK
